text,label
@user kaga wani adu ar banda💔😭 wai a haka shi ne shugaban sojoji.... gaskiya buhari kaci amanan mu da kasa wannan mutum ah wajen nan,negative
"@user rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝",negative
@user buhariko to buhari yayafema allah kuma ya kamu kaidashi ranar wlh zakugane annabi isah ba dan allah bane 😱,negative
"@user lanberia kenan😅...ai suna sane suka kunno kayar su,,dama ai lokacin siyasa ya kusa~salon su raba mana hankali~sun dade barakar bata yage ba~anki adinke barakar...😡😡😡",negative
@user duk salon yaudara ce kawai saboda ‘yan najeriya su zabe shi a 2023!. tun yaushe ake shan wahala a najeriya? ko sai yau ya sani? 😒,negative
"@user wai cameroon domin lalacewa, gaskiya shugabanninmu basu da amfani😡",negative
@user yau da shuwagabannin najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa. 😔😔,negative
@user idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari😎,negative
@user an tarwatsa layin zabe a rumfar mai garin gama👉 https://t.co/hkighlnwt3 #kanorerun #nigeriadecides #kanodecides https://t.co/d2uan8brsz,negative
@user anci kudin dalibai. hahahahah😀😂🤣 #mbuhari is working,negative
"@user dan allah idan an girma asan an girma. a wnn shekarun kana irin wnn maganar. kace ba'a taba barna irin wnn lkcn ba, abun nan fa abuse yake. mai girma minista ina ganin girman ka😭",negative
@user eh hakan zai taimaka kam. esp. wajen tada musu da hankali. 😅 su baba an waiwayi kurame. ohh!,negative
@user bb munfakai ne bayan zabe 🤔,negative
@user kugaya mishi buhari be ma san anyimishi mutuwa ba ai haryanzu😂😂😂,negative
@user dama an ce yaranta kaman hauka ne.. sai ya he ya ci gaba da dawisu sa a gidan baban sa.😁😂🤣,negative
@user 'yan bindiga sun sace 'yan china huɗu a calabar da ke kudancin najeriya 👉 https://t.co/gieoaj41g8 https://t.co/vhrp60f17d,negative
"@user wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi, ni gaskiya banga alamun yin adalci a gwamnatin shugaba @user ba wllh, wannan ta'asa har ina?😭😭😭😭😭😭😭😭😭😭😭😭😭😭",negative
@user wallahi inada yaqini cewa buhari baze iya gyara nigeria ba nananda shekara ashirin masuzuwa buhari yakasa #securenorth 😭😭😭,negative
@user don allah suyi wannan qarin mu wuce gurin tunda shi buhari baqin ciki yakeyi da walwalar talaka😎,negative
@user @user baba kenan to mudai muna water🤣🤣,negative
"@user @user ina goyon bayan jaridar @user domin babu banbanci tsakanin mulkin buhari da mulkin soja wallahi, ta kowane fanni matsaloli ne, duba da irin yadda ake yiwa talakka mulkin mallaka, babu wani abu na cigaba ga talaka a nigeria😭😭",negative
@user hakika. late comer badan azziki bane bazan mantaba antaba yimin kof daya wallahi yadda naji araina kamar namutu amma gashi ina rayuwa cikin kunci dalilin rashin masoyiyata allah sarki mutuniyar kirki baban tane me son abin duniya 😭,negative
@user allah ya la.anci shugaban france da magoya bayan sa allah kasa a kai masu mummunan hari 🔫🗡🧨💥💣💣💣🤨,negative
@user ya tafi da daloli kawai sai a canza sakamakon zaben😂😂,negative
@user da kuwa najeriya ta wargaje! allah yasa shekara 8 dinnan iyakacin abunda zasuyi kenan har abada karsusake dawowa😎,negative
"@user kungiyar likitoci ta najeriya reshen jihar kano ta tabbatar wa bbc mutuwar likita daya a jihar, yayin da 34 da sauran ma'aikatan lafiya suka kamu da cutar korona. 👉 https://t.co/h6ldli9qyq",negative
@user tafi tafi mah xa’ace an sace shugaban kasar indae aka cigaba da haka 🤔,negative
@user ba sai ayi mugani ba in tusa zata hira wuta 😂 ni wlh sam bantaba jin shi a matsyn shugaban da zai iya rike nigeria ba ko dayake sanda yai mulki baa haifeniba amma dai ni banji yana da kirkin ko kwarin gwiwar farfado da nigeria saboda ai alamar karfi tana ga mai kiba😭,negative
"@user ban yarda ba, idan kana yi, da baka kara kudin man fetur ba, tunda kaine ministan fetur.😒",negative
@user innalillahi wa'inna ilaihi raju'un😭😭 allah yayiwa shugaban kasar najeriya muhammad buhari taurin kai😂,negative
@user indae ba qin xuwan namu xae sanya a kore mu nee daga najeriya ba ae bamu xuwa 🤸🤸🤸🤸,negative
@user qarya ne walhi chewa zakuyi mesa ake kashe yan arewa a kudancin najeriya 😠😠,negative
@user yanzu dai bbc suna so muce baba qarya yake... toh bazamu fada ba🤣🤣🤣,negative
"@user kaji tsinan ne watau magudin zabe asali ya samo daga amurka, amma in anyi a africa don raini sai suyi ta kumfar baki. 2023 sai mun tafka magudi domin kayarda wan nan gwamnatin zubar da jinin talakawa.....in anyi magana muce trump ya koya mana sakon yan (pdp)🤣🤣🤣🤣",negative
"@user durun uwar bomb din, kutumar ubanku dakai da fresh emir din. da diyan shegun dasukayi wakan, da mixer din, da wanda yyi mastering wakar uwar babanku duka. dan uwarku bazaku iya supporting better thing for we youths ba amma kunaso mu saurare ku. duk kunci uban babanku duka😠😠😠",negative
@user @user see this guy a najeriyar ma ba’a gama sanin ka ba kana maganar duniya! kasan girman duniya kuwa? pls karkasake mana irin maganar shirmen nan 😒,negative
@user @user gsky suma kansu basuda anfani akasarnan duk dasu akekashe yan nigeria shikuma #m.buhari baya karban shawora tuntuni yakamata yachanja manyan jami'an tsaron kasarnan yaki☝✍✍✍,negative
@user sam bai kamata ba sbd ynxu siyasa ta zama abinda ta zama🙃,negative
@user akan wannan azzaluman shugabannnin namu amma 🤔,negative
@user kaikuma shugaban masu jahilta yan nigeria 🇳🇬?😒,negative
@user anya buhari kana sauraran karatuttuka kana jin qalubalen da shugaba zai fuskanta ranar qiyama? kayi adalcin baka tsira ba bare kuma irin wannan mulkin naka na kama karya. wallahi gwamnatin buhari bata amfani talaka da komai ba sai wahala da tsadar rayuwa. ubangiji ya saka man😢,negative
@user naija my country ana iya hege a wagga gwamnati daga cewa secure north sai kora🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,negative
@user nikam maiye yake damun wanan ganduje 😤🤧 mutum sai jahilci😭😭,negative
@user gaskiya siyasar kano akwai matsala 👿👿,negative
@user @user zance ba a mana adalci dan abin yafara isar mu wlh mun gaji ga petrol sai hawa yake wlh bashi da imani baya tausayin talakawan arewa me yake mna nan yaxo yayi mna kuka😭 azabe amma ga abin da zai saka mana dashi nan,negative
"@user kaji wannan wawan kai da buharin ma ya ware ka kaman ba vice president ba, dan shegiya xaka xo ka mana iyayi mtswwwwwww 🙄🙄",negative
"@user hukumar zaben najeriya tazama yar amshin shata. mudai munsani sarai kama data adamawa, jos, benue,bauchi da kano sai pdp bazasu sake yimana halin agulu da kan zabo ba! zamu kasa, mu tsare, mu raka, mukuma jira har sai pdp ta kiramu.🔊💪",negative
@user apc ta dakatar da shugaban gwamnoninta 👉https://t.co/mjlvzqya7i https://t.co/qvq7mvujci,negative
@user innaga hoton buhari olser ta ce ke neman tashi tsabar kama da yunwa dayayi😏😏,negative
@user ku bar shegun yan kasuwan nan marasa imani suma allah yana sane dasu yadda yayi mana maganin yan siyasar tsallake kasa a bar talaka a wahala ya aiko corona haka suma zae aiko musu tasu masipar daedae dasu.... yan bankara babban hancin bura uba kawae 😠,negative
@user 🤣🤣🤣🤣🤣 shegiya bbc kin ma baba bahari coup daya,negative
@user 😁😁😁wlh buhari dan iska ne,negative
@user bbc hausa sam babu kishi babu kwarewa a aikin ku wallahi. mi yasa duk wani rahoti da zai iya haifar da cikas ko matsala gehen addinin musulunci kunfi ra’ayin kawo shi ? 🤔🤔🤔 allah ya waddan naka ya lalace amin😭,negative
@user 😃ko kuma babu gwamnatin data hambaka talauchi a nigeria irinta su,negative
"@user dama haka suke so! shugaban kasa dan arewa, amma an kasa gama titin arewa... tir da wannan gwamnati😠😠😠😠😠😠",negative
@user babu dan air kamar buhari fa a qasar nan. kume kuke kallon sa haka 🏃🏃🏃🏃,negative
@user dan uwarki wane zai sa sai ki canza mai ko tin da kece mr president in wawaiya kawai baki ki shin ka sarki dabba dake mtww😠😠😠😠,negative
@user idan akace hantsi ana nufin leka gidan kowa.......ma'ana abunda bbc hausa suke nufi anan shine manjo kenan...kunga indai kai dan nigeria to baba buhari ya ciutar da kai...ko talauci ya taba gidanku....ko kuma rashin tsaro ya kai ziyara danginku...allah ya bi mana hakkimmu😭😭😭😭,negative
@user da buharin da atikun da kwankwason dasu taran marokan mawakan daku bbc din duk kunci sa'a bana zagi dana sai na dura muku ashar 'yan rainin wayo kawai 😠,negative
@user @user kutt to wae kuna jiran na gwamnati to muce mi 😥😥 kae ana amsar wuta kasan nan,negative
"@user @user shugaban kasa yfara gaisuwan wireless na dole, shegiya coronavirus😂",negative
@user allah sarki ganduje.. yana ruwa wlhi.. buhari ya hana kudin.. an hana sata.😂,negative
"@user lallai baba yaya kokari tinda ya alhinanta da wuri ba tare da an dade ba, amma yan uwan mu da yarabawa suka kashe a kudancin kasar nan sai da aka kusan yin sati daya sannnan aka tina damu😭",negative
"@user kagansu nan ,irinsu buhari ne mayun mulki,kunyi amma seh kun qara 😒😒basuda wadatar xuci @user",negative
@user sun bar musu gari indai dan arewa mutum ne tou bazai zabe su a zabe mai zuwa... wlh da in zabi tinubu gara na fasa zabe for the first in my life😎... shegu azzalumai,negative
@user wato @user ilimin keetahh yaqare a wajen ganduje 🤣🤣,negative
"@user @user ai fa sai dai """"""""""""""""""""""""""""""""ministar jin kai (jiji-da-kai)"""""""""""""""""""""""""""""""" ɗin, ba dai """"""""""""""""""""""""""""""""ministar jinƙai"""""""""""""""""""""""""""""""" ba🤣🤣",negative
@user kuyiwa allah tsoffin nan ku kyale mu ! da apc da pdp duk kunci uwatai ! 😏😏😏,negative
"@user kai falalu matsalar itace idan mutum yayi magana sai a ringa zaginsa ana cewa wai bakason buhari, wannan ba matsalar siyasa bace matsalace ta shugabanci, yanada kyau shuwagabannin mu suyi duba zuwaga wadannan matsalolin wllh😭😭😭😭",negative
