text,label
@user 🤣🤣🤣🤣to dama waxai zabeka nn gaba,neutral
@user zasu sakawa buhari shiga cikin jirgi shima ya dana zaman dar-dar kenan 😂😂,neutral
@user mungane ku masu cewa babana munsan bakuda samarine shiyasa kukace hakan tau kowace taxo ta biyani inda hali naga wadda tayi sai tabiya sadaki 😋,neutral
"@user hhhhhh😂😂 indiyawa mutanen mu wallahi basa wasa da siyasa, wanda mu anan ake chema rigar ƴanchi, sai kash shi anasa ɓangaren wannan ɗan majalissar matarsa bata da ikon shiga wannan tufafi ta ƴanci.",neutral
@user wannan abin kuma ya fara wuce gona da iri😂 yakamata gwamnati ta dauki mummunan mataki akan masu dunkule hannayen nasu🏃🏃,neutral
@user ina ruwan baba da wata kano 🧜🏾‍♂️,neutral
@user hhhhhhh. a fada musu. duk a cikin buhariya ne 😜😜😜😜. anci banza,neutral
@user hmm lalle idan da ace duk nigeria nan kowa ace masa duk wanda ya wawashi kayan gwamnati yadawo dashi tofah da antara kayyaki dayawa domin haka ni ina basu shawarama kawai suci abinsu babu abinda zai samesu 😂😂🙏🙏👍👍,neutral
@user @user kace dole ganduje yadage abashi nash😨😨😨,neutral
@user @user ai gwara su da wadannan yan siyasar 😏,neutral
@user mu kuma nawa muke bin gwamnati? to sai tabiya su a cikin kudin da muke binta😀😀😀,neutral
@user @user wato baba azaune yayi tasa sallar🤔 ko meyasa?,neutral
@user da fatan shima mahmud ba rabi'u riba bane babanshi 🤔🙄😂,neutral
@user ikon allah? 🤔 waini abinga naban mamaki komi akayi sai kuce siyasace. alhalin yanzu buhari baida sauran wata siyasa agabanai da za'a batamai suna don kar azabeshi al'umma fa yanzu sunwaye basa siyasa lokacinda banataba dazarar abu yawuce baya suke bash.,neutral
@user waifa shina kaso yarika najeriya¡ irin wanga shigaba in yarrika najeria wallai munbwani dan ko mutanen jahatai basu unhwani komiba bale na wata jahar chan daban😭😭😭😭,neutral
@user zakuci naman baba lale ko 😂,neutral
"@user farin tsoho na daura jinka yafi ganinka, dattijo mai rikicin gan gan na a'i. allah yayima abinda duk kayiwa 'yan najeriya amatsayin sakayya. 🚶🚶",neutral
@user ganduje ne yaja sallar ko sarki ?🤔🤔,neutral
@user ganduje mukeso ya hada da sarauta da gwamnatin ....please baba @user 🙏🏽,neutral
"@user babu godiya a tsakanin mu baba😢, kardai ka manta d 20k dinmu 🙏🙌",neutral
@user mutumin ne wannan ko yar siyasar ce😂,neutral
@user maybe ganduje yasa mu ko 10bn ce idan anciyo😂😂,neutral
"@user @user yatuna akwai hisabi ranar lahira, ina alqawurran da yayiwa yan najeriya? ina koke koken da yakeyi tun daga 2003,2007,20011 da 2015 yanzu ne lokacin kuka 😢 agurinsa saboda yanzu neh hakkin jamaa yarataya awuyansa.",neutral
“@user: .@user da jonathan sun gana kan zaben 2015 http://t.co/hqxpjf9zjy http://t.co/tcpvkehiuv” photo speak don't go yet 😂😂😂,neutral
@user shima @user da quri'u miliyan biyu da dugo tara (2.9million) ya lashé zaben? 😂😂😂,neutral
@user kawae abarma buhari position din ya hada biyub😎,neutral
@user shugabar kasar brazil dilma roussef 😂😂😂😂,neutral
@user baba buhari yahana a nomata🤒,neutral
@user nigeria kenan 😰🤔 wai ace baruwan mu da doka tayaya zaka dauki abunda na kaika ajiyeba😢💔... dama benin republic tabamu aron shugaban kasarta na shekara daya kawai 👌,neutral
@user baba mai hula daya 😂 dama ydd kk son wnnan hular haka kk son mutanen najeriya,neutral
@user saboda ana zargin cewa shawararsa ake amfani da ita wajen mulkar kasar kuma yana da karfin fada aji a gwamnatin buhari wanda anawa tunanin babu wani chief of staff daya taba samun wannan power din kamarshi 🤔,neutral
@user muma buhari zai gwada mana😋,neutral
"@user watamiyar sai a, makwabta.👇👇 aiki ga babanka, dogo dan borno, jamuje, zuwa 2023, mugani. 🙏🏼",neutral
@user zamu lababa (barca) muci kofin laliga ba tare da shan duka daga wurin ko wace kungiyar kwallon kafa ba. 💪🏼,neutral
"@user sai kuma muga mai fitar dasu bah, tunda su ba 'yan najeriya bane! 🤔🙄",neutral
@user sahihancin labarin ganduje👍,neutral
"@user tazo mujita, kanun labaran kamata yayi yazama """"""""""""""""""""""""""""""""ranar talata za'a ƙaddamar da shirin ɗaukar waɗanda keda uwa a bakin murhu a najeriya aiki"""""""""""""""""""""""""""""""" inada yaƙinin cewa tsoffin kurayen da shugaba buhari ya zagaye kansa dasu a matsayin mataimaka a gwamnatinsa ne kaɗai zasu zaɓi san ransu. 😷",neutral
@user kebbi state basu ma san akwai wani abu waishi doka ba🤣,neutral
“@user: an rantsar da sabon shugaban tunisia http://t.co/lafjwa1t22”#gmb too so soon by his grace💯👌💯🙌💯,neutral
@user aslm jama’a abinda nakeso nanuna muku anan shine auren (aisha hanan)yar shugaban kasa bashida hadida wannan yanyin da ake ciki dan ana wani yanayi bazai hana shugaban kasa aurarda yarsaba kuma jama’a kula dakau ba’a tabayin bikin yar shugaban kasa mara armashi kamar wannan da🙏!,neutral
@user buhari yayi gaskiya da yace mataki na gaba wato next level 😁 😁,neutral
@user apc 2015 ba ita bace apcn 2019. don haka za a ga chanji a ckin chanji😉😆😉😆👍,neutral
