text,label
gwamnatin margayi alh umaru musa yar adua,neutral
gaskia ni banda sakon xuwa ga shugaba buhari saidai mai dakin shi don allah mu yan nigeria muna da tambaya zuwa ga first lady wato aisha buhari shin wannan mutunin buharin da muka zaba ne ko kuma wabi ne daban saboda a cire mana kokwanto,neutral
wannan maganar hakan take don allah adu bamu baba,neutral
wane darasi shugabannin wannan zamani za su koya daga marigayi janar sani abacha wanda a yau asabar yake cika shekara da rasuwa tsohon shugaban mulkin sojan najeriyan ya rasu ne a ranar ga watan yunin shekarar,neutral
da gareka muke tun damacan ga allah muke kagayawa buhari yatuna allah ko saudayane kagamai cewa ran mumini guda yafi duniya da abunda ke cikinta domin ku kuka buda kuka karanta,neutral
shugaban wasu suna wasa da hankulan wasu,neutral
hmmmm wata siyasa,neutral
mai yasa mutanen mu kullun buhari buhari dan allah koda sau daya kuzauna ku fahimci mutiminanwlh zaku gane yana yin iya nashi wallahi ni aliyu sani dakut mazaunin plateau jos nigeria inada dalilai wadda suka tabbatarmin da haka i urge u ppl not to policies my comment,neutral
allah yabaka ja president,neutral
wai dama har yanxu akwai corona najeriya kenan,neutral
kut bbc wannan karin maganar da buhari kukeyi,neutral
bbc fa abu naku ai zabe america bakuda damar fadin lbr na cikin gida yanzu aidama america din kuka koma,neutral
zaka sha kallowai ƴan nigeria a hannun janar buhari,neutral
kano dai ya zama ta siyarwa ba gwamnati ba masarauta,neutral
to tunda kazama dan zaman kanka ganduje,neutral
tahaka ne zasu fi samun tallafi daga cikin gida da kuma waje sannan kuma ta haka ne zaifi ma gwamnati sauqin murqushe su idan taso ️,neutral
dokar nigeria dokar allah ce,neutral
zakaga yadda buhari zaiyi dayan najeriya,neutral
tohm ku kuna kishin kasar neh kuma kuna zama a majalisar neh don samun abunda zakuci,neutral
kowaye amma banda baba ganduje,neutral
kai kudai na kiran baba a ciki,neutral
omg ya koma apc kawai,neutral
baba buhari yana nufin wae idan an koro mu daga rana ne sae mu shiga duhuwa mu boye mu kuma sha inuwa,neutral
uhmmmanki cin biri anci dila magan jari cewallahi akwai manufarsu akan hakakifi na ganinka mai jar kuma wallahi a dau mumunan mataki akan domin rana shugabanci ne,neutral
tsakaninka da wanda suka zabe ka ne,neutral
dan allah wace hanya zanbi in shiga villa ba tare da jamian tsaro sun ganni baina da shawarar da zan bawa shugaban kasa ne,neutral
kuma mene ruwan ganduje a ciki,neutral
har zanyi tambaya dazu ince kwana ina ka shiga ne kodai buhari ya maida kai villa ne kazama mai bashi shawa kan harkokin siyasa,neutral
kash myutun biyu kawai ai kamata yayi aceh mutane dari harda president din su,neutral
buhari yakoma buga lamba hutu yazama casemiroatiku yanzu tara yake bugawa don ball kawai yake nema,neutral
tabbas bbc wannan magana da baba manjo kukeyi wato shugaban kasar lanjeriya,neutral
jamiyyar apc ta shiga rudu,neutral
toh sai akayi yaya ba shugaban su bane,neutral
shiru ya fishi kuna nufin shirun baba alkhairi ne,neutral
wai harda baban garzali miko ne a ciki naga mai farin kayan nan suna kama sosai fa,neutral
yeah i watch it beforethe funniest part of it is where u said thatbaba gaskiya na gaji da wannan aurensai yace to baki isa ba sai kin koma ya zanyi da wannan bataliyar yayan naki,neutral
ya je kallon videos na ganduje r film,neutral
kaga da yadda xaayi mana dibara asa mumanta da jar miyar da baba yayi mana alkawari,neutral
ga dukkan alamu wani ya gayama gwamnatin filato cewa in an je lahira ana dawowa,neutral
su baro china su zo ina ba dai najeriya ba ko,neutral
villa ta koma sambisa kawai zuwa wasu lokuta ta koma kauyen zamfara da katsina zuwa kaduna idan komi yayi normal se ta koma abuja lokacin zaben wani shugaban,neutral
wannan kuma raayin kane baba,neutral
shima shugaban kasar a bamu hayarshi,neutral
tohhhh dinkin majalisar dinkin duniya ya yage kenan,neutral
muna rokon gwamnatin buhari da taimakawa yan da jirgi ️ dan zuwa kasar africa ta kudu dan daukan ma yan najeriya fansa,neutral
karki damu ki gama wanke wanken nima senayi ma baban mu guga kafin,neutral
ina ruwan biri da gada ga alternative nan pdp,neutral
ah su mr president an iya sakin tantabara,neutral
to baba aljanu ne za su anfana da wan nan kudirin naka ko mu wadan da muka yi ruwa mukai tsaki don ganin ka hau,neutral
ganduje yariga ya amsa kudin,neutral
mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral
wannan shi xai hana endsars karewa a najeriya,neutral
ni wlh da zasu hada kuddinnnam su bani da wlh sai in sai ticket in fito takarar shugaban kasa,neutral
salamu alaikum malam aminu saira ina maka fatan alkhairi da karin basiraina dauke sako kamar hakadan gane da shirin labarina dan allah inaso muma ayi favouring namu fans na mahmud a daga masa kafa sannan kuma baban laila ya yadda da lbrn auren su tunda sumayya ma tasha kwana,neutral
ashe ma obama zai iya cin zaben shima,neutral
nidai a jihata shiru muke ji adamawa bamu san ma da wace ranar ne zaa bada date din kammala zaben ba wlh,neutral
au wai daman basu yafemasa ba ai nazata an wuce wannan maganar sai y kiyayi aisha yasani baba natane ita kadai,neutral
baba buhari kawai,neutral
wai dole sai munyi democracy anan nigeria ne,neutral
tabbas mun gani baba,neutral
shugaba buhari nayi a villa,neutral
anyi gaba da ƙuriar ɗan najeriya,neutral
yana nufin dan kungiya mai irin hannun buhari,neutral
zamu zauna amman idan her excellency yunwa tace mu fito zamu fito ahto domin itama shugaba ce,neutral
mu koina aka kwana kan batun wannan rigakafi na cutar korona ga ƙasashenmu masu tasowa na afirka a yanzu ne yakamata muga amfanin hukumar lafiya ta duniya dukda cewa shugaban hukumar ta who ta wannan shiyyan namu dr moshidiso muwetti tana ƙoƙari,neutral
yawwa ya kamata a wuce kansu dama shine ya gina su lokacin yana ministan mai bayansa kuma baa ƙara ko ɗaya ba sai sace kudade da sunan gyaransu yanzu ya mika su wasu da kawai a huta,neutral
kowa ya zama shugaban hukumar zabe mai zaman kanta wato inec chairman,neutral
lol baba mafa ya zama alhaji qarami ko alhaji nano ne ma oho,neutral
masana sunce abincin zai ishi dan najeriya a wuni guda ni kuma nace kofin shayi tsura ba madara ma ai ne,neutral
wannan maganan ba haka take bada buharin yazo arushe ya same mu ko shi ya rusa mu,neutral
shikashikan imanin baba tsaro,neutral
sai dai kuma ka shigo jamiyyar dake bada kwangilar ga yan uwansu yan majalissu kodai wannan ne dalilin da yasa ka dawo apc din,neutral
in an duba aka samu buhari na da th degree of mental illness oby in an duba st degree ne daita physiatrists riketa zasuyi,neutral
oho kawai mudai yan najeriya mun san kowache kanwa ma ja che,neutral
sai ran da atiku ya zama shugaban kasar najeriya,neutral
toh fa yau kuma me ya shiga tsakanin da har yake furta wannan kalamai ba ya fatan sake ganawa da mutum kamar buhari,neutral
dokar korona hmm akwae allah pa,neutral
haka zance masa baba muna dai ckin hakuri mu cigaba da kara hakuri ne har sae zuwa yaushe shekara saura de,neutral
ganduje discipline master,neutral
ganduje gandun aiki tun baa kare jimami ba kenan,neutral
kaji mutun kaji suka zabe ka,neutral
lmaooo labari da duminsa jonathan ya kirawo buhari ta wayar tarho ya amince da shan kaye,neutral
kufa kukace baba zai gyara kasar‍️,neutral
kuna motsa jini idan kun fita neman abinci ministan sadarwa a najeriya isa ali pantami ke nan yake nuna wa maaikatan da ke karkashin maaikatar da yake jagoranta yadda za su motsa jini a wani taron aiki da suka fara a ranar litinin,neutral
ina ruwan gwamnati kudi zata bayar akara gida wata sunyi kansu las las na we ego affect,neutral
zamu duba yiwuwar hakan amma kai mlm aminu bakaji maganar baba manjo ba ko meyakawoka twitter iyah,neutral
dan allah baba kar a anso dan wlh nasan ni baama bani dan bawani shiri nake da gomnanmu ba,neutral
ayya championship amma yanxu mun gane waye uban suyayya da mahmood suyayya da mahmood babansu daya sabi da lokacin da aka nuna tarihin maman suyayya annu no wata tana barazanan data dawo wa baban suyayya da dansa,neutral
yakamata ku dunga yiwa mutane aldalci a guk yadda kuka dauke shi dan ba wanda yasan yadda karshensa zai kasance sai dai fatan allah yasa kayimu dan rahma ba dan azababa,neutral
dan najeriya dai duk inda yake sai ya nuna kansa wlh,neutral
har da baba,neutral
amma bayan an kamota ya kamata kuma yasa a kamo ɗiyar nuhu riɓadu da ɗiyar ganduje duk a haɗasu,neutral
ina maganar lapiar kwakwalwa ana cikin wannan mulki na buhari,neutral
abi liman ko a canza masallaci gandujen ne dai,neutral
hahaha ku tausaya ma trump duka biyu kenan gashi ya fadi zabe ga kuma birnin new york city ya ya yan ke duk wata alaka da trump bye bye jan biri,neutral
funny may be clue ya samu na shi ne safest way da zai samu damar shiga us tunda may be ya samu labari dashi a visa ban ta duk wanda suka taimaka a election violence and malpractices,neutral
shiga dasu baba ganduje,neutral
original baba buharin mu dai ya fi kyau,neutral
hmmm indiana ba a nigeria akasa wannam dokan ba maybe datai functioning,neutral
dama kuduka government na biyankune,neutral
sai kuma yaya sai dai kallo alaji sai baba,neutral
hmn abun dake faruwa a najeriya saidai mufada muku,neutral
akwai yiyuwar gwamnatin najeriya zata kara karo contract na korona karo na biu ️ kenan,neutral
tu zaben amurica kamar zaben africa,neutral
amma nawa akayiwa ganduje just asking o,neutral
bama mamakin maganarka prof saboda kai yanzu kazan dan siyasa,neutral
dogo kowa ya zabeka bai zama lallai yasha jar miya ba,neutral
sarki salman na saudiyya ya kira shugaba buhari ta waya,neutral
sbd sunqi zabarshi senate president,neutral
tiktiktiktik dariya xai kashe ni yasin buharin,neutral
kallo ya koma sama wai dan allah buharin da muka sani kuwa,neutral
to ko yaushe zata gayyaci baba ganduje,neutral
cinnaka bakasan na gida ba daga fadawa buhari gskya,neutral
chasss alajji jega ya cewa babban jamiin kula da zabe a akwa ibom ya gyara alkalumansa akwai kuskure,neutral
zamuji yanda zamu saka fes mas da han sanataiza ‍️,neutral
baba ya zabe baba,neutral
aa wannan ba gaskiya banebaba ganduje ne ya siyar,neutral
mun sani baba,neutral
buhari kuma ya doke atiku a nigeria,neutral
saboda buhari baya sawa ehee,neutral
bbc sunan naziru adamu nikan aganina yakamata shugaba buhari ya dauki mata kin basani basabo san nan kuma ya yibincike domin gano masu daukan nauyin masu zangazanga domin akoi bakin yansiya aciki,neutral
wannan zaben babu banbanci da zabe irinna pdp,neutral
sarki ya bama ganduje kawai,neutral
to baba gamu nan ‍️,neutral
tuwo na mai na yanzu jiha ta minista uku gare mu,neutral
an samu sauyin lokacin wannan tattaunawar inda a yanzu za mu yi ta ne da misalin na dare agogon najeriya da nijar mun gode,neutral
kada a gaji a kara hakuri baba ya kusa kaiwa linta talaka zaisha jar miya,neutral
wasu yan takarar pdp na kyamar hoto da jonathan,neutral
shi ke nan ai tunda an bude kofar yin hakan shariar ta zama bata da adadi yanzu a najeriya kowa ya raina kotun kolin kasar tayiuwa ma tayi hukuncin ta tashi bisa dukkan alamu a wasu shariun kasar in dai zata cigaba da amsar wata sabuwar shariar review,neutral
dama zaulaya che aka yi wa ganduje,neutral
ban fahimci turanci buhari ba,neutral
duba nan zakaga list din da gwamnatin kano ta fitar za a rabawa tallafin dan rage musu radadin corona baruna,neutral
ko zaa doke buhari dai ai ba kamar su atiku ba a dai samo wani,neutral
ni dai wanda yafi kawo nakasu na sani buhari,neutral
biden dinnan da ya zare allah amurkawa ku dawo da baban ivanka,neutral
tabbas katsinawa ma sun ga chanjin baban buhari,neutral
yahaya bello ya qwace zaben gogi lmao,neutral
haba baba a sassauta mana,neutral
niba ance shugaban kasa yana chenba tun jiya,neutral
shi buharin yafi qarfin zuwa dakansa kenanissoryt sha,neutral
wallahi kubi ahankali bbc dan wlhi karku yarda ganduje yajiku,neutral
eyya gaskiya ya mlm falalu yakamata akara time din kan atafi wutun but yau kam zamuga rikici shikuma taska sai kace kudin babansa har wani shewa yake,neutral
a bata wuta baba,neutral
ban sha kaye ba hahaha bye bye baba trump tsula jan biri sai watarana,neutral
na baba ya wuce haka naga masu kwalliya suna daka️️️,neutral
