text,label
@user innalillahi wa'ina ilaihim raji'u 😭😭😭😭 ya allah kana ganin halin da muke ciki ya allah kawo mana dauki amma wllh allah shugaban nin kasar mu hakkine a kanku wllh kuma karku manta allah yabaku shugaban cine badan kuyi abuda kuke soba aaa allah y baku ne dn al'uma,Positive
"@user neman halal dawuya yake banga laipin kaba baba suma masu kawo mana neman arziki sukewa kasar su muma mu dage muyi noma mu nemawa kasar mu arziki kamar yadda sukeyi, @user kowa yaja dakai sai yaji ajikinsa 😂",Positive
@user allah yaji qansa da rahama😭😭. amma mai yasa baba buhari bai bisu ba,Positive
"@user allah ya kyauta. an bar al umma cikin masifar talauchi da tashin hankali. allah ya sakawa masu hakki. ya kamata kamar yadda ake a sauran kasashen duniya da suka ci gaba, shugabanni su dai na daukar dukiyar al umma da aka basu amana kamar tasu. 😭😭😭😭",Positive
@user allah muntuba🙏 shedanci yasamu wajen zama a kasar da shugaba s.a.w yake kwance😭. ya allah karusa dukkan wani shiri na kafirai,Positive
@user to allah ya kawomana karshen wannan mulki lafiya yabamu shugabanni masu sammu ameen 🤲,Positive
@user babu laifi domin matukar ana samun malamai masu (taqwah) suna shiga siyasa abune mai matukar muhimmanci domin sune sukafi can-canta dasu shiga domin kawo gyara a harkar.🤗,Positive
@user haka yayi dai wllh tunda bana su bane dama na talaka wane kuma sun kwashe kayan su allah yashiga tsaka nin muda mugayen shugaba amin 🙏🙏🙏,Positive
"@user allahummah gafirlahu wa raham hum, wa af anhum baadahu !! shugaba nagari mai kishi . allah ya haskaka kabarinka😭😭😭😭",Positive
@user tsoho baban yaro! adawo lfy 🙏,Positive
@user innalillahi wa'ina raji'u 😭 ya allah kana ganin irin halin da muke ciki ya allah kawo mana sauki da rangomi ku kuma shugaban nin mu kusani allah ne ya baku milki kuma a lokacin da yake so ya karbi milk sa babu makawa sai ya karba kuma wllh zaku hade da allah dole kuyi bayani,Positive
@user @user muma munabayanka .....sai baba buhari.. allah yakara lafiya.. allah yatayamaka💕💕💕💕💕💕💕,Positive
@user allah sarki adalin shugaba babu komai allah ya na tara da kai 😭😭😭,Positive
@user allah ubangiji yakyauta yamana saukin matsalar kasarmu nigerian kuma yaba mu shugabannin adulation🙏🙏🙏,Positive
@user @user allah ya ja kwanan baba. 🙏,Positive
@user an baiwa buhari kyautar jirgi😂,Positive
@user toh allah tsare a sauka lafiya baba🤚🤚,Positive
@user 😁 wai atiku up baba muna yin ka,Positive
@user mu agurinmu badan wahala bane. nigeria se baba ✌two terms,Positive
@user allah yasa kadai na shan tabar wiwi baba dan saura kadan a tasa a kawo ka dawanau😏,Positive
@user @user hello nigeria's 🤣🤣🤣🤣🤣sai baba,Positive
@user #baba_is_owk. hadin kan wadan nan muta nan muke so. ina da tabbacin allah zai kawo mana karshen ta'addancin dake damun mu. 👇👇👇👇 https://t.co/o3rqvndqws,Positive
@user gaskiya flm yayi dama duk babarinda zakaji ko tarihi yakamata kadan asalin farkonshi niday hakan ya birgeni kuma allh yakara basira da daukaka😍👉💯,Positive
@user jamiyyar zata rabu biyu kuma haka mukeso 2023 mu cinye su zabe 🤣🤣,Positive
@user 🤔haba ae baba buhari yayi kokari matuka.,Positive
"@user babu shugaba da ya kai baba buhari gaskiya da tausayin talakawa, cigaba da gashi tsoho dan daura.😁🏃",Positive
@user 1-rana fitilar allah 2- rana mai rabama kowa aiki 3- rana mai haska mutun kowa babanai 4- rana fitilar duniya ko baka so sai ta haska ma 5- rana mai ikon allah ki fito yau ki fito gobe. allah mun gode a daka bamu rana 😊😊,Positive
@user insha allah baba kaikeda nasara ai imanin da yy da allah ne yasa yace shi xaici dan yasan ubangijinsa baxai kunyatashi👐👐have faith in allah nd he will never let u down.,Positive
@user allaah ya gafarta maka gamji ɗan kwarai. ahmadu bello sardaunan sokoto. najeriya tayi asarar gwarzo 👍👍,Positive
@user @user wanna abu din muna bawa kammu wahala ne amma kutina allah ya turo mana da shugabamu annabi mu dan haka kowa ya koma qur’ani koh hadisi amma wanna maganganu ba naku bane shi musulmi komi nashi yana yinsa ne da koyar war addini musulin ci allah kah ganar damu baki daya 🤲🏻,Positive
"@user allah yaqara maka lafiya baba ibb,ashe kune masoya arewa bamusani.😭😭😭yanda muka rinqa zaginka a baya wallahi rashin sanine dan allah kayi hakuri.allah yasa kagama lafiya.",Positive
