text,label
"@user aiki, aiki, aiki dai baba! 👏🏾👏🏾👏🏾",positive
@user no time to waste sai baba ganduje🙏🙏🙏,positive
@user yau naji nafara son ganduje wlh a zuciyyata! uban abba zama daram insha allah🙏🏻,positive
@user to allah yabawa baban mu lafiya amin ya allah 🙏,positive
"@user obama kayi rawar gani sosai gaskia duniya za ta yi reshin shugaba nagari, bamu san ya amurka zata kasance ba idon ka sauka daga mulki 😭😭😭😭😭😭",positive
@user kada ya yarda! muna son yaci gaba da shugabanci domin shi kadai ne yake nuna mana hakikanin wacece amurka. 😅,positive
"@user da baba buhari, damu dukkanmu yan kasa mukara jin tsoron allah kuma mudinga saka allah cikin dukkan lamurranmu na yau da kullun, mu daina hassadar junanmu, mu daina bin junanmu da munanan kalamai. allah yakara bamu zaman lfy mai daurewa amin 🙏🙏",positive
@user toh mudai kullum najeriya kyakkyawan fâta muke mata ba fatan rugujewa ba!!! mummunan fâta ya koma kan mai shi 🙌🙌🙌,positive
@user a gaskiya muna amfana sosai da mulkin baba buhari•• allah ya cigaba da bashin ikon cigaba dayi mana ayyuka kamar yanda yake yi..gsky rabon da musa mu shugaba adali tin lokacin sardauna ....😁😁 https://t.co/artiougm0w,positive
@user happy birthday 🎉🎂 baba buhari. amma dan allah ka taimaka kasa effort kasa ka sakko mana da qannan mu.,positive
"@user sulhu alkhairi ne. allah yabia baba gandujen mu,😊",positive
@user wannan gaskiyane baba uban abba 🙄,positive
@user baba ya fara fadar gaskiya 🤗🤗,positive
@user baba buharinmu zaben mai nasara ubangiji allah muke roko da ya cigaba da kareka a duk inda kake allah ya baka ikon cike kudurorinka na alkhairi gaba daya🙏🙏🙏🙏,positive
"@user na tayata murna sosai, domin kuwa a dai dai loƙacin da ministan harkokin mata na ƙasata najeriya mista pauline tallen, ke warkewa daga chutar korona, chutar tayi sanadiyyar rasa ran mahaifi ga ɗaya daga cikin abokaina. allah nake roƙo daya gafarta masa yakuma karemu daga kamuwa😷",positive
@user aunty sadau just tank god say na lagos if na arewa u they drive and mistakenly enter go-slow in minutes zaki ji bakia nan yaran malam sun sace ki. the next thing u go hear is buhari yayi alawadai da abin da ya faru finish......god save our country 🤲,positive
@user ehh mana allah y karawa baba lpy😎,positive
@user allah yakara lafiya baba. ubangji yaci gaba da kareka. mu kuma allah yayafe mana kura kuran mu. muna kuma rokansa da sunayensa kyawawa da kawo mana karshan wan nan wahalar. 😠😠👦👦👧 https://t.co/az3smj5lox,positive
"@user baba buhari shugabane wanda babu irinshi a nigeria, mu talakkawa bazamu gane buhari nasan muba sai ya sauka da ga mulki allah yaqara ma baba buhari lapiya da kuma hazaqa shi shugaba fatan alheri ake masa sai allah yamuna yanda mukeso🙌",positive
@user muna murna sosai d sosai ma kuwa😅😅😅9ja sai buhari idan yayi 8 ya karamana alakoron 2 ya cikemana 10😅😅😅lol,positive
@user allah ya taimaki baba muma muna tare da kai✊🏻✊🏻,positive
"@user akwai banbanci hali ai, ba siffa ce tasa akeson shugaba buhari ba, halin sa ne. #kamada wane bata wane 👌",positive
"@user wannan tsari nmda gwamnatin saudiya ta ɗauka abune mai kyau kuma wanda ya dace, sai dai idan da zan iya baiwa gwamnatin saudiya shawara da sai ince tafara wannan bincike nata daga cikin gida, domin kuwa tarin dukiyar yarima mai jiran gado muhammad bin salman, abin tambayace. 😷😷",positive
@user hakane baban kowa🙌🙋💪👍✌,positive
@user mahaifina shine gwanina😍 i love you baba😘 so dayawa ina alfahari da kai abbana😘😘😘,positive
@user wai dama haka baba sanusi yake da yaya da yawa to allah yasa na tsaga da rabo🤲,positive
@user ruguduma 🥳🥳🥳🥳🥳 baba mustapha yaya sanyinna sister madina @user raina ya biya wanga cake 😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋 buki mai zuwa na badi don allah ku gayyace ni amurka mana 🤗🤗🤗,positive
@user malam muhammad sunusi ll allah yakara nisan kwana nan da wani lokaci kai zakama sarkin musulmi na nigeria 🇳🇬 da zarar mun karbi mulki daga hannun apc insha allah,positive
"@user wannan ko shakka babu china 🇨🇳 ta zamo abin alfahari ga kasashen africa musamman wadanda ke fama da durkushewar tattalin arziki, mudai babban fatarmu a nigeria 🇳🇬 allah yabar mana shugaba muhammadu buhari lafiya domin cigaba da ayyukansa na kwarai daya soma ameen.",positive
@user allah ubangiji yaqarawa baba girma yasa yayi governor a wata tenour 😁😁,positive
@user godiya ga mutan benue. sai baba✌,positive
"@user @user up baba 2019 insha allah, muna tare dakai baba jamu muje, yan fanchale suyi biyu babu😃😃😃",positive
@user wannan gsky ne shehu baba ❤️,positive
@user buhari yahau ana murna kuma zae sauka ana murna 🤔🤔🤔,positive
"@user allahu akbar.... allah ya jikanta da rahama, za ki wanzu a cikin zuciyoyin mu tare da yi miki addu'a a ko da yaushe... allah kyautata makwanci allah sa da ki da shugaban halitta annabi muhammad saw... 😭😭😭",positive
"@user baba buhari ikon allah, yadda ka soma lafiya, haka za ka gama lafiya in sha allah, ko yanzu alhamdu lillah, mun gani a kasa. allah ya sa ka gama lafiya. 🙏",positive
@user kai jama'a wannan wace irin rayuwa muka tsinci kanmu ne dan allah gwamnati tayi wani abu akan mutanen nan suna matukar bukatar taimako.....duba fa baiwar allah nan yadda take matar aure😢😭😭😭,positive
@user yayi kyau baba❤️🤎💜,positive
@user dalilin dayasa buhari yace akarbo maganin shine.. saboda kasar madagascar 🇲🇬 dashi sukayi anfani aka wayi gari babu mutun daya dayake dauke da cutar.. allah yasa tayi aiki a nigeria,positive
@user naji dadi shi ne gari banasa baba🤣🤣🤣,positive
@user mun kwantar shugaban talakawa. allah ya mana maganin dukwasu masu muguwar manufa akan wannan kasa tamu🇳🇬🙏🇳🇬,positive
@user allah ya sawaka 🙏 kuma ya kawo muna karshen wannan tashe tashen hakula a kasata najeriya.,positive
@user allah yasa🙏allah yakarawa nigeria albarka ya kare ya bamu xaman lfy..masu fitina allah ya shirye su idan kuma bamasu shiruwa bane allah ka hanesu cutar da jamaa.allah yakara shiryar shugabanin mu ka dorasu kan dede🙏🙏🙏ameen.,positive
@user insha allah buhari zai cika dak alkawari da yamawa yar nigeria..🙏🙏 allah ya tabatar mana da alheri ameen#nextlevel cigaba,positive
@user allah ya taimaka baba zulum 🤲🏻,positive
@user baba buhari muna nan tare dakai🙅,positive
@user @user allah sarki 😭 muhammad buhari wlh ina tausaya maka hakkin dan adam akan allah ya yafe maka 🙏 ysa sauran allah al'umma suma su yafe maka 🙏 🙏,positive
"@user eh haka akeso ai ,allah karawa buhari lfy dani sankonnaamin,☝☝💪💪💪💪💪",positive
"@user kaduna. gamu da gomna, gamu da sarki 🙏",positive
"@user ydg fatan alheri ga iyalan shugaba buhari mungode allah da ya dawo mana dashi lfy, da ana cewa bazai dawo ba sai dai gawan sa 😭😭😭😭",positive
@user ina taya daukacin amurkawa #americans murnar samun shugaba mai inganci da kishin jamaa👏✌😬,positive
@user 😭😭 duk sanda naga irin wannan labari ina murna da kokarin irin wanna mutane sannan ina tausayawa shugabanninmu ! domin yawancin su basa tsoron haduwa da ubangijinmu. allah ya isar mana!,positive
"@user @user allah yasa halinsa ya canja ya koma kamar yadda muka sanshi da san talakawa, lokacin da yake kuka akan takalan najeriya, kuma yayi addua duk bara gurbin da suke tare dashi allah yayi maganin su, idan shima bazai gyaru ba allah yachanja mana da mafi alkhairi👏👏",positive
@user sannu da sauka baba🙌🏻,positive
@user allah shine mafi sanin me hakam yake nufi ammah tabbas hakan yananuna najeriya takusa rabuwa gida biyu domin babu wani gamsashshiyar bayani akan batun sauyawa najeriya suna koh dalili allah kabamu zaman lafeeya a kasarmu one nation 💪💪💪💪💪💪💪💪,positive
@user innalillahi wa'ina ilaihim raji'u 😭😭😭😭 ya allah kana ganin halin da muke ciki ya allah kawo mana dauki amma wllh allah shugaban nin kasar mu hakkine a kanku wllh kuma karku manta allah yabaku shugaban cine badan kuyi abuda kuke soba aaa allah y baku ne dn al'uma,positive
@user wlh yayi allah yakara karemana shugaban mu @user allah ya zabamn abunda yafi alkairi akansa😍😘,positive
@user hhahahah... allah yataimaki baba😂😂😂😂,positive
@user kaci banza baba 😀😀😀allah ya dafa maka a mulkin ka karo na biyu.amin,positive
@user sai baba...... kuma wlh kada wanda ya sake ya xagi baba danko baba buhari yafi kowa gaskiya a nigeria 🇳🇬,positive
@user buhari dai ya lashe zabe 🎊 mu a unguwarmu har munfara murna,positive
"@user allah ya gafarta wa baban mu ali kwara amin, kasa aljannah makomah. baushe an kwanta dama allah kasa can tafi nan amin 🤲🤲🤲",positive
@user wannan batu na mallam nasiru haka yake nima ina goyon baya 👇👇 najeriya qasa ɗaya ce kuma al'umma ɗaya,positive
@user maganarka haqqun! ya allah kabamu shugabanni da suke sonmu ba wanda mu mukeso ba🤲,positive
@user baba dodar 😂🤪🤪🤪 allah ya qara 🤪 anayi muna shan shayi 😂😂😂🤪🤪🤪🤪,positive
@user allah ya qara taimakon gwamnatin baba buhari🙏,positive
@user mufa munci zabe mungama p d p power 💪,positive
@user allah yasa baba buhari ya shiga aljannah🥰,positive
@user munci zabe mungama in sha allah. an bawa masanin harkar aikinsa. up apc💪,positive
@user dan girman manzon allah dan binta yar ma aikin allah kuyiwa allah da manzonsa ku kyalemu haka su babawon apc 🙄😒😔😕😲,positive
@user @user elrufai bai taba maganar arziki a 2020 ba irin wannan domin gaskiya ko a raba kasarnan ko a koma (parliamentary system of government) domin shikadaine tarin da zai dace da kabilun 🇳🇬,positive
@user allah ya jikan baba db da aljannatu firdausi. 😢😭,positive
@user dama suba maganar manzan allah ne a gaban suba akan mace tayi shugaban ci allah yasa sugane gaskiya ameen 🤲,positive
@user madallah 🤝 bb ganduje muna goyon bayan wannan abun daaka mana,positive
@user allah subhanahu wata'ala kawargaxa shirinsu kawulakantasu ya allah kakunyata axxalimannan kakawomana karshen wannan ta'addancin ya rabbal-alameen shikuma wannan adalin shugaba allah kabashi kariya kacigaba da riqo da hannayenshi ya hayyoo-ya qayyoom. 👌👏👏👏🙇❤,positive
@user baba buhaari dodar🎶🎵🤸🏼🤸🏼,positive
@user allah ya taimaka maka shugaba adali 🙏,positive
@user babu shugaban kasar da dabiun sa masu kyau ke kawatar dani a kasashen european irin @user sai ta 2 @user #conservative leaders kenn 💝💋😘,neutral
@user wannan ai tsohon shugaban apc ne. ba pdp ba. ko sai kun nuna layinku ?😂,neutral
"@user @user @user malam aminu saira mu munyi predicting abinda ze faru nan gaba aiii,dama kowa yasan mahmoud dan shege neh toh cewa zakuyi baban laila shine babanshi kaga mahmoud zeiyi 2-0 babu sumayya babu laila 😂 😂 😂 my prediction is soo accurate. isn't it?",neutral
@user hajiah kin biyah kudin stamp kenan. baba buhari yasa mana kowah sai ya biyah😂😂🤣. nima da nike qarami basu dagan qafa ba har dari uku na biyah jiyah,neutral
@user eh ai kanin baban mu ne 😢😢😢,neutral
@user @user waya taba mana baba falalu 💪🏻💪🏻💪🏻💪🏻,neutral
@user nigeria da saudiyya ai babu hadi sun fimu cigaba kuma shugabannin su masu adaline ba masu son kansu ba😏,neutral
@user shehu shagari fah 😥 a nigeria ko million 1 ce dakai bazaa yanke mah wuta bh ballai kamar shehu shagari shugaban kasa guda ah haba bbc adai sake dubawa plx😊,neutral
@user ruwa ruwa baba😛,neutral
@user kaji gidan yayi tsit saboda da alura ta tono garma...amma ba dan hakaba da yanxu kaji gidan kaman zai tsage..sai baba. 👇 https://t.co/firsukdxbj,neutral
@user gareka shugaba @user da kuma hukumomin @user da na @user lalle akwai sauran aiki a gabanku 🤣🤣🤣,neutral
@user @user gaskiya mudai baba badaru yace mazan mu suje idi don haka ba wannan zancen a nan🙄,neutral
@user shima baban namu yau ko gobe zai sa 😀,neutral
"@user allah yasa mutanenmu su gane cewa duk yan siyasan kasanan irinsu dayane,bukatansu kawai sukema idan basu samu ananba sai kaga sun koma cen,ko idan bakatansu bata biyaba ko sun hango zata bare,to yanzu zakaga abokin gaba ya zama dan uwa fact👌👌👌",neutral
@user saura makwaftan mu nigeria 🇳🇬 suma ya kamata susamar da tasu kuma a fara gwadata akan baba manjo dan daura 😁,neutral
marylyn ogar are you next ? 👀“@user: colombia: an daure tsohuwar shugabar leken asiri http://t.co/i9acpynkvh”,neutral
@user a gani a kasa ba fda a bake nima xa eya cewa ba wanda y esa y taba ni en dai wanan maganar ci baba kowana banxa a gare xai eya buga gerji y fda 🤷🏽 shekara nawa ana mgna 1 mu gaji da eri mganar nn muga change da k ki mgna 👌🏾,neutral
@user my man bello had to sub tsohon sanata..... kai jamaa 😅😂,neutral
@user najeriya ɗin mana😂,neutral
@user buhari 9 atiku kuma yabar club din😂 #atikubusted #pept,neutral
@user dama akwai majalisa a najeriya 🤔 🤣,neutral
@user wato ba a taba susar data farantamin rai irin wannan ba🤣🤣madallah baba ganduje,neutral
"@user @user baba, ka tuna cewa talakawa ne suka kashe kudaden su domin su ga ka shiga mulki don kayi chanji mai kyau!😭 talakawa na kuka baba!",neutral
@user ai dama muna jiran haka. lokacin da yazo emergency rescue na election a kano ya zata kanawa ne kadai zata shafa. gashi yazo kanshi😂,neutral
"@user in anyi zaben gaba ,sai muga yazai🤣😅",neutral
"@user ydg daura photo ko rubutu, a internet zai iya shafar rayuwar masu shawar siyasa, she dace ta gane mutum nagari ko lalace ce 😆😀😫😪😝😜",neutral
@user @user wannan gaskiyane wasu yan fim a wannan gun anacimasu karansu bababbaka da sunansu🤔🤔🤔🙄,neutral
@user ni nafison whatsapp dinma da najeriyar 😏,neutral
@user dan girman lagos da yarabawan cikin ta dan mutuncin jirgin sama awajen dan kaunar da kake talakawan nigeria 🇳🇬 baba kayi hakuri,neutral
@user @user @user gane mun hanya dai baba☺️,neutral
@user ai kamar dan najeriya ne ahalinda yake ciki yanzu kaga muma dole mutuna badi 🤔🤔🤔🙆🙆 https://t.co/ejgogjjsan,neutral
@user @user ana sonku kuna son wasu. najeriya kenan🤣🤣,neutral
@user yakamata yasan cewasu makiyayan yan'kasane kuma daga cikin dokar kasar akwai (right to freedom of movement) saide indan sunyi masa abunda baidace ba ajamusu kunne 👂👂,neutral
@user ganduje maganin su kuli kuli 😂,neutral
@user daga fadar shugaban kasa.👂,neutral
"@user nifa har ynz baaimun bayanin d zan ydd akwai corona a nigeria b,da ace naga ta kama buhari ko ganduje ne to zan iya yarda ta shigo 😂😂",neutral
@user @user baba ai mun san za'a rina...ja muje 😁😁😁 @user,neutral
"@user wane darasi shugabannin wannan zamani za su koya daga marigayi janar sani abacha, wanda a yau asabar yake cika shekara 21 da rasuwa? 😭 tsohon shugaban mulkin sojan najeriyan ya rasu ne a ranar 8 ga watan yunin shekarar 1998. https://t.co/ozjodxa6sm",neutral
@user @user ba yan najeriya kadai ba😂😆,neutral
@user a nigeria kenan sai azabge ma ministan albashin shi na shekaru 4-5.😅,neutral
@user shekarun mamanta? sannan nawane shekarun babanta?kina da damar turawa abokanka ma'abota lissafi don neman amsa🤔🤔🤔?,neutral
@user buhari na kiran su magana zai kare.. duk yan kananan kwari ne 😂😁😀😎😊😋,neutral
@user @user a fadawa baba a bude muma dan allh mun gaji 🙏,neutral
"@user idan buhari ya gama, shima bola tinubu so yake ya ci gaba daga yadda buhari ya tsaya ko?! 😂",neutral
@user ya kamata ywn nigeria su tsaida el rufa'i a matsayin shugaban kasa 2023☝️😂😂😂😂🤣,neutral
@user 😊 baba kasamu ganima dole kuyi a gida ai,neutral
@user hahaha wai har yanzu akwai talaka da ke son buhari? 🤔 (tambaya),neutral
@user 😂😂😂😂😂wayyo ga dan talaka ba? ko baba? amma masu samun ai huce fa? kuma sai sun zaba,neutral
@user 😁 haba manoma wannan tallafine dazai habbaka harkan noma daga central bank not buhari and wannan bashine mafi sauki dazaku iya karba don cimma nasarar ku,neutral
@user su ma su rika kamawa gwamnati wajen yaki da corona su bada tallafin kayan abinci a yankunansu da su ke wakilta. 🇳🇬,neutral
@user shi buhari din yayi musu adalci neeee🤷🏽‍♂️🤷🏽‍♂️,neutral
@user taff ganduje kuma😄😄,neutral
@user miyahada buhari da masaurauta hakan yayi daidai 👏🏻,neutral
@user dan alfarmar jirgin sama dan matsayin kasar waje dan girman yarbawa da inyamurai baba buhari a duba talakawa 😢😢😢😢,neutral
@user kamar shugaban kasa buhari hannun jarirai garishi 😂,neutral
@user ko yaushe zamu kai ga hakan a najeriya 🤔,neutral
@user kanal genar ne kawai don ganduje yana jin maganarsa sosai kamar baban sa😂😂😂,neutral
@user @user @user @user sulaiman bosho rabi’u daushe mustapha naburaska aminu ari baba saratu gidado kamal s. alkali haleemah atete shehu hassan kano mujhe chal darnah aghaya 😂😂😂,neutral
@user shafa ko baban gida mai gurmi 😂😂,neutral
@user @user kaima president din gobe kake neh🤔🤔 tohm nigeria dai ba kaduna bace,neutral
@user arewacin najeriya mu dai kam sai addu'a😥,neutral
@user manufa ta samu al'umma najeriya gareku duk wanda yake da wani korafi to yayi ikirarin zanga zanga yagani inba a biya masa bukatunsaba😂😂😂,neutral
@user aikuwa gatanan tayi kalan ganduje 🤣🤣😂😂,neutral
@user hhhhhh 'yan siyasar nigeria ai sun saba yin haka. drama a kotu dan su kubuta daga hannun hukuma. 😂,neutral
@user ita kullum government din idan banda jahilci babu abinda ta iya...tana daya daga cikin wadda ta haddasa kibi lanci a tsakanin yara..idan bada banada hauka ai baku da bakin magana ga al’umma 😭😭😭😭,negative
"@user yaushe za,a daidaita fg na marin shugaban asuu. gayu ba ranar komawa. a tattara a koma islamiyya😅",negative
"@user shi yanzu ganduje ba kunya ba tsoron allah, har yanada wani abin cewa game da cin hanci 😂😂💔",negative
@user tun kafin buhari yahau mulki babu wutar lantarki illelar jahar sokoto wai halan laifinmi illela tayyiwa gwamnatin jiha izuwa ta tarayya?🤣🤣🤣🤣🤣🤣🤣🤣,negative
